epoch,loss,val_loss
0,-0.5594956107934316,-0.5022694477461335
1,-0.6055368475765321,-0.4926298243882961
2,-0.6010805151435766,-0.4927474039053558
3,-0.5920697178733483,-0.4985398166161731
4,-0.5967991153175911,-0.5010997952151119
5,-0.5926012021622488,-0.49965080730897143
6,-0.5986696889314951,-0.4912756484253962
7,-0.5947931488355,-0.49115135660745146
8,-0.5952266466617584,-0.4943645083255426
9,-0.6014708528582682,-0.482864948367714
10,-0.5940519793151205,-0.49744502404578644
11,-0.5890548885403193,-0.49977356285080876
12,-0.6015984604022647,-0.4959713576879716
13,-0.5985127889254702,-0.5056479268542833
14,-0.5847814520128369,-0.4939487475649755
15,-0.6001862953925186,-0.486928018346065
16,-0.6113785836728699,-0.5025745501419655
17,-0.5994395405187735,-0.5015336539512291
18,-0.5827124059067537,-0.4977584638093647
19,-0.5905865738855912,-0.48447617238625545
20,-0.5704849239970956,-0.49213193547456785
21,-0.5992606461048127,-0.5028992789944905
22,-0.6036749162227911,-0.493219338413468
23,-0.6014119540037733,-0.49633896171598507
24,-0.5971668096668518,-0.5022273100632474
25,-0.6083356866194038,-0.4972292184829712
26,-0.6079005241394043,-0.4972733864210602
27,-0.5853516096394418,-0.4991823470121936
28,-0.5919527963405232,-0.4978357620705339
29,-0.610771359205246,-0.5134102101612809
30,-0.5952164854779339,-0.5083681524248052
31,-0.5988547825813293,-0.5111138506939537
32,-0.6169274923506748,-0.5054799573762077
33,-0.594867675896459,-0.5045308694803625
34,-0.6196736508955335,-0.5050728836453947
35,-0.6025830938715181,-0.49744631719768495
36,-0.5868141341182862,-0.5026713701567256
37,-0.6157794224896601,-0.5040997114396633
38,-0.6073216414451599,-0.5069359782632077
39,-0.6011624056220854,-0.49403640112482516
40,-0.5992324146502268,-0.5023564651496428
41,-0.6177718549103939,-0.5035278371402195
42,-0.6101913412412008,-0.5029993025880111
43,-0.6065777346191791,-0.5017571246489546
44,-0.5947787022644094,-0.5131919419855103
45,-0.5982170554002126,-0.504471831976023
46,-0.5962224837144215,-0.5104868322386777
47,-0.593440135717392,-0.4986601059598134
48,-0.6033041001435353,-0.5055328455186427
49,-0.6298653755412006,-0.48690548113414217
50,-0.6269942705139451,-0.506354487256
51,-0.6076682213986857,-0.49828798699199706
52,-0.6044627571105957,-0.5083162732966626
53,-0.5933783379588733,-0.5034304662306506
54,-0.6138640908400218,-0.5063590012994924
55,-0.5989456040747214,-0.49023231460635824
56,-0.6069416682501989,-0.49321044589343827
57,-0.6231914246454835,-0.5021443734491678
58,-0.5922237718853716,-0.505262781802873
59,-0.5953976881504058,-0.5007699293301517
0,-0.5844165001596723,-0.509697076969577
1,-0.6149295945875509,-0.4913304510869478
2,-0.5928704977035523,-0.4855966913072686
3,-0.6052322952778308,-0.5023505158890459
4,-0.5979092662630517,-0.5116773863932244
5,-0.6022898391891198,-0.5075897417570415
6,-0.6036373441633971,-0.4994261188614637
7,-0.6154116198614046,-0.49692261711995406
8,-0.5983159762698335,-0.502530774003581
9,-0.612494526354196,-0.4819705535594682
10,-0.6069907588896408,-0.5007816418669278
11,-0.5979706772736141,-0.500295479046671
12,-0.6251489684276622,-0.5030040789983774
13,-0.591997607826666,-0.4784855102153873
14,-0.6089722297939599,-0.49139936167494697
15,-0.6057633618255714,-0.49321508855748
16,-0.6084440761688216,-0.4980061177472423
17,-0.6015607538548383,-0.4920436291766346
18,-0.6028007903656403,-0.4974041572190765
19,-0.5949339124833652,-0.5019155677996183
20,-0.601913585321505,-0.49465075314493107
21,-0.6072880857161482,-0.48743496756804616
22,-0.6015341870162798,-0.5059750980900642
23,-0.6053063313773626,-0.5015890764114552
24,-0.6125452505533711,-0.5109958935500984
25,-0.600979258032406,-0.4947770780190489
26,-0.6186360737551814,-0.5076517805709202
27,-0.6026010397480044,-0.5108870841506729
28,-0.6172523672704573,-0.4977858458694659
29,-0.6161986869847488,-0.5050302741670967
30,-0.6137852380478305,-0.4888617239500347
31,-0.5911583792079579,-0.49286881918297676
32,-0.6134836718246535,-0.4932280326248112
33,-0.6153686942617878,-0.5067220083752969
34,-0.6103886265462546,-0.4926732805438508
0,-0.10694804361376625,-0.12629272810516567
1,-0.11757905634406668,-0.13301578272868247
2,-0.12388290513139338,-0.13569764433986078
3,-0.12641516152385607,-0.14172184141012875
4,-0.12635949573916339,-0.1457633398962717
5,-0.1332986457872928,-0.14921245196439925
6,-0.14485181275380246,-0.1508120747595808
7,-0.14174404321401832,-0.1611303985118866
8,-0.15317080860379442,-0.16324195961882598
9,-0.15383854464032234,-0.16885225975165402
10,-0.1546211201697588,-0.17711102201120696
11,-0.16289997162253494,-0.18152275822893546
12,-0.17074548501752684,-0.18607187564790684
13,-0.18452323750141097,-0.1895045028985852
14,-0.17715236761046022,-0.19631051484250675
15,-0.18611313749600378,-0.1970286267490065
16,-0.2094658009516887,-0.20815117820336002
17,-0.2050593403318236,-0.21014173774823655
18,-0.21703698199528915,-0.2211095349740808
19,-0.24016852346088352,-0.2280014490667921
20,-0.2069807898589743,-0.23585889385129413
21,-0.24085956937422248,-0.2299412200703238
22,-0.22440504127625743,-0.23747086280916077
23,-0.26371615283912225,-0.2554464372840241
24,-0.24922795875523335,-0.2592634803404773
25,-0.27544139510676363,-0.2657214511920066
26,-0.27583678701231557,-0.27008263146790273
27,-0.27115420662821865,-0.2726958558289674
28,-0.2814154066466566,-0.2830089660239046
29,-0.3002372104714463,-0.28416570498995536
30,-0.30503034898651515,-0.29523635758970773
31,-0.28871019928052033,-0.29671518276207637
32,-0.31860010705617053,-0.29387766780861974
33,-0.30792695269438214,-0.3102937875872981
34,-0.33749388062801117,-0.32078132490172
35,-0.3352451641672159,-0.3190494288493247
36,-0.33792436084686184,-0.3214238059781764
37,-0.34139314427589756,-0.326461045520149
38,-0.3621564137673429,-0.32984736627035766
39,-0.368428704238707,-0.3086487363724813
40,-0.36748520943426316,-0.32573935346011695
41,-0.37127062917649106,-0.33892323337767244
42,-0.38321099961357546,-0.3406876225541108
43,-0.3848480607125693,-0.3548143262410686
44,-0.39211113454821783,-0.3488818678977716
45,-0.3905528990455486,-0.36491192300824354
46,-0.41320138410276214,-0.36443160202381386
47,-0.42614811024358196,-0.375680558872919
48,-0.4163641393567561,-0.37818006920988545
49,-0.4385192924572007,-0.36935583735904554
50,-0.4270727617980598,-0.37215563546131997
51,-0.4455805657765804,-0.3917927149220975
52,-0.4355057947910749,-0.385877368006393
53,-0.46121314802477437,-0.37967239091866206
54,-0.45675163047435957,-0.391493581724863
55,-0.45389188214754445,-0.3779692375746957
56,-0.46358836315105595,-0.3892832267893492
57,-0.46724922081519815,-0.40214254146944867
58,-0.4623498553591207,-0.41550110769967963
59,-0.4865191592904689,-0.39514998406389334
60,-0.4763069355334991,-0.40379638175894744
61,-0.4776200753808533,-0.4070352572594246
62,-0.4850786146617705,-0.4083041461714863
63,-0.5033375775916162,-0.4116079058960406
64,-0.49973683126511115,-0.4140051233507421
65,-0.4928607240799935,-0.4197427103989316
66,-0.5147317392944262,-0.41503767223253735
67,-0.49007400748811564,-0.40948865986871025
68,-0.5028577719059625,-0.41740235403506426
69,-0.5282353117707996,-0.41888538612066395
70,-0.5091910031743538,-0.4284964595397894
71,-0.5157455084785338,-0.40908334420545256
72,-0.5240448934084396,-0.4246943416821696
73,-0.5244532579899858,-0.43518051222293047
74,-0.5181687844210657,-0.41148251730160124
75,-0.5368686470606808,-0.45289767506348827
76,-0.5506556321168822,-0.43670874398990267
77,-0.5373367476157653,-0.45697754969562054
78,-0.5530113516709744,-0.4551510893515427
79,-0.5474873451272732,-0.4540400309284238
80,-0.5612944844059455,-0.43911752518076097
81,-0.5548237464340408,-0.4468192105745747
82,-0.5661613843133373,-0.4391140722445328
83,-0.5763602050844692,-0.46336236095776523
84,-0.5633174792985078,-0.4277394570573403
85,-0.5336080190301199,-0.4498714634971897
86,-0.5631805939059104,-0.4674959313260378
87,-0.5758835770541506,-0.4553133240581429
88,-0.5536277705623257,-0.4689796449494188
89,-0.559231698513031,-0.4746480877817112
90,-0.5674963724228643,-0.4690377377245548
91,-0.6031036169743845,-0.4806569011977119
92,-0.572404589136271,-0.47653478862595383
93,-0.5817991612281964,-0.44245873815821907
94,-0.5857737706553552,-0.47579351415599347
95,-0.5972782233408813,-0.47828570421594774
96,-0.6003239066559869,-0.4726099189180527
97,-0.5957445273925732,-0.4775744411197022
98,-0.5907366990015425,-0.4554028906961427
99,-0.5789587674602386,-0.4651950393279974
100,-0.5989741265516857,-0.4699786801407807
101,-0.6083442573903277,-0.4786753419541965
102,-0.5888737328590885,-0.49086039388266794
103,-0.5903004994994823,-0.4774041554353533
104,-0.5901163244865368,-0.48118575472031194
105,-0.5929555077706614,-0.48041338620394686
106,-0.602736205635009,-0.4739847385535275
107,-0.619227298595363,-0.47954284405186226
108,-0.6083908103166088,-0.4722928578836204
109,-0.6052263903668912,-0.47679810062812195
110,-0.6098194176150906,-0.46745926968372653
111,-0.6039825885913612,-0.4836119826692734
112,-0.6110317825243391,-0.48490242583908305
113,-0.5980473485743177,-0.446469269094676
114,-0.6281524796639719,-0.4657723029164502
115,-0.6277107745409012,-0.45752143598821043
116,-0.6127688991717803,-0.46501831438419594
117,-0.6239228964429991,-0.47374528341919836
118,-0.6253480901022326,-0.4740456447114039
119,-0.6170496233762839,-0.48026776792359177
120,-0.6232815913968673,-0.4884174400872558
121,-0.6324673843435283,-0.45934850640975644
122,-0.630090315880314,-0.47833161414974795
123,-0.6203361770799083,-0.47675327706511006
124,-0.6145529708388557,-0.4607826427821695
125,-0.6285143381562727,-0.48279292130992363
126,-0.617884929067102,-0.46648504351177356
127,-0.629162295018473,-0.47390803194394077
128,-0.6430732344502005,-0.47766237319820987
129,-0.6358974457042923,-0.486696270695568
130,-0.6263246161156687,-0.48129024035739204
131,-0.6182217975286967,-0.47746579446931825
132,-0.6265946782097734,-0.48905565007759705
0,-0.6144328057110965,-0.4671940522907424
1,-0.5859871221112681,-0.4658793385011436
2,-0.6016331120103003,-0.49847736628386224
3,-0.6077790836754599,-0.47856567332344335
0,-0.019323058226811036,-0.011881146740445213
1,-0.020730127826052373,-0.012253893144441315
2,-0.0215930274944624,-0.012458254397544707
3,-0.020246902205126018,-0.012790529107725298
4,-0.021238275025971233,-0.013004364275902108
5,-0.02236595614347607,-0.01289932316836171
6,-0.022158883091011276,-0.013716932688210462
7,-0.02251011390251586,-0.013458608051862669
8,-0.01997686329544807,-0.013592375643752716
9,-0.025173309319652618,-0.01373814106793017
10,-0.022360286898910998,-0.014081621391547693
11,-0.024253968976209968,-0.014042880058892676
12,-0.019822847601276315,-0.014809735524468112
13,-0.026131892975034383,-0.013504713547189493
14,-0.022552967884096522,-0.014214112284920505
15,-0.025526164192068455,-0.014480789173142734
16,-0.02838122639294765,-0.01448089478386415
17,-0.023893710832117786,-0.01489621787206144
18,-0.02537847980044332,-0.015362312856784745
19,-0.027880143587898514,-0.015551802400197531
20,-0.028883586263541004,-0.015326787591785998
21,-0.023361102254985243,-0.015398608772335825
22,-0.023643473894554096,-0.015842435629786673
23,-0.03167179364711046,-0.01576402739344819
24,-0.024649337987447607,-0.016046962625271565
25,-0.0341592398852262,-0.016218965874695394
26,-0.028629974833995903,-0.016215844130193866
27,-0.032785713361126595,-0.016596412641572782
28,-0.025992698992458766,-0.016717862237144162
29,-0.03210330410429195,-0.017098672039070596
30,-0.0328076046722909,-0.01735266383636642
31,-0.03054880359758661,-0.01744088507886674
32,-0.02923364717513323,-0.01764655958961796
33,-0.03527492568636798,-0.017862900739183295
34,-0.031040492828707307,-0.01782969554030412
35,-0.03333266077525154,-0.018154140500465054
36,-0.035174408271832734,-0.018353869148995727
37,-0.03347095051780343,-0.018803798719435126
38,-0.03440249853490575,-0.01880738015815213
39,-0.036027286787862545,-0.019321823986624746
40,-0.03729967739970822,-0.01954489649348968
41,-0.0346383255533874,-0.020238432627814513
42,-0.0385929985173248,-0.020453985692379443
43,-0.03644971762834167,-0.02077162622240517
44,-0.03407338138669729,-0.020608411519001616
45,-0.03675641924181111,-0.020981262991758617
46,-0.036532464548945424,-0.021188983439650335
47,-0.03952935700166366,-0.022069799487252493
48,-0.040160423809928555,-0.021878426353371627
49,-0.03999974630219308,-0.02184991748701479
50,-0.04494400071792755,-0.022358471179714477
51,-0.038049113042652606,-0.02257153724093695
52,-0.041862100027501584,-0.023659772768213943
0,-0.042245169337196596,-0.02317876791631853
1,-0.041473070811480287,-0.023456297336599312
2,-0.044928001038000716,-0.023885041261343536
3,-0.04587860953062773,-0.024623933072025712
4,-0.04649776264974107,-0.024697310667220706
